id,name,address,website,phone_number,latitude,longitude
50,Logopedsko rehabilitacijski centar Blaži,"Travanjska ul. 2, 10000, Zagreb",blazi.hr,098 995 1247,45.7916356,15.8466884
51,Centar Misli,"Trg Kralja Petra Svačića 4, 10000, Zagreb",centarmisli.hr,091 617 5288,45.8066537,15.9031711
52,"OBRNUTA UČIONICA - logoped, instrukcije svi predmeti - svi razredi, rođendani i proslave","Domašinečka ul. 6, 10090, Zagreb",obrnutaucionica.hr,098 198 5278,45.7939694,15.839067
53,Tara centar d. o. o.,"Črešnjevec 49, 10000, Zagreb",taracentar.hr,01 2301 546,45.8531461,15.9252718
54,LOGODOM,"Omiška ul. 7, 10000, Zagreb",,095 748 4723,45.7934301,15.881264
55,Sonja Oković,"Ul. grada Vukovara 269 d, 10000, Zagreb",okovic.hr,098 944 1995,45.802001,15.9313642
56,Logoglas,,logoglas.hr,091 338 5111,45.6374797,14.8496928
57,"MAŠTA, obrt za čuvanje djece, logoped","Bolnička cesta 81c, 10090, Zagreb",,098 172 6932,45.8160393,15.8194639
58,LOGOLAND d.o.o.,"Ulica Slavoljuba Bulvana 22, 10000, Zagreb",,091 903 9502,45.8165229,15.9565841
59,Edukacijsko-rehabilitacijski fakultet u Zagrebu,"University Campus Borongaj, Borongajska cesta 83f, 10000, Zagreb",erf.unizg.hr,01 2457 500,45.8165229,15.9565841
60,Logosaur,"Ul. Kecerini donji 1, 10000, Zagreb",,091 579 3730,45.8548843,15.8820087
61,Kabinet Meritum,"Ul. Antuna Šoljana 24, 10000, Zagreb",kabinetmeritum.hr,092 507 2822,45.8032249,15.8142912
62,"LOGOTONA OBRT ZA LOGOPEDSKU DJELATNOST, VL. ZRINKA KNJAZ","Rudeška cesta 246, 10110, Zagreb",,,45.8032249,15.8142912
63,Logopedski kabinet Pričalice,"Aleja lipa 1a, 10040, Zagreb",pricalice.com,091 555 3087,45.8275523,15.9942292
